#Time [s],ICA_R [ml/min],#Time [s],ICA_L [ml/min],#Time [s],VA_R [ml/min],#Time [s],VA_L [ml/min]
0.0,0.16994640272289818,0.0,0.17698838073627793,0.0,0.044599194084738475,0.0,0.08919838816947695
0.053,0.16149602910684246,0.053,0.1629044247095184,0.06,0.04225186808027855,0.061,0.07840068854896132
0.106,0.14459528187473106,0.106,0.15351512069167872,0.12,0.03708775087046673,0.122,0.07229764093736553
0.159,0.13755330386135128,0.159,0.146003677477407,0.18,0.03708775087046673,0.183,0.07041978013379759
0.212,0.1258166738390517,0.212,0.14177849066937914,0.24,0.036148820468682764,0.244,0.0643167325222018
0.265,0.12816399984351162,0.265,0.14459528187473106,0.3,0.033332029263330856,0.305,0.0643167325222018
0.317,0.22956848323618012,0.317,0.22628222682993623,0.36,0.03239309886154689,0.366,0.07417550174093346
0.37,0.33144243182974065,0.37,0.3244004538163609,0.42,0.057744219709714016,0.426,0.10093501819177654
0.423,0.2863737725441102,0.423,0.28402644653965026,0.48,0.07511443214271743,0.487,0.12065255662923986
0.476,0.23707992645045187,0.476,0.2314463440397481,0.54,0.06056101091506593,0.548,0.10891592660694026
0.529,0.21078987520050077,0.529,0.20844254919604083,0.6,0.05821368491060601,0.609,0.10938539180783226
0.582,0.18309142834787373,0.582,0.18496928915144167,0.66,0.0525801024999022,0.67,0.1018739485935605
0.635,0.18309142834787373,0.635,0.18872501075857753,0.72,0.0408434724776026,0.731,0.0962403661828567
0.688,0.19999217557998514,0.688,0.20233950158444508,0.78,0.04412972888384649,0.792,0.1023434137944525
0.741,0.18215249794608976,0.741,0.19107233676303745,0.84,0.050232776495442284,0.853,0.09342357497750481
0.794,0.16994640272289818,0.794,0.17698838073627793,0.9,0.044599194084738475,0.913,0.08919838816947695
